month;hour;holiday;weekday;workingday;temperature;humidity;windspeed;count;weather_clear;weather_cloudy;weather_heavy rain/snow;weather_light rain/snow
9;23;1.0;1;False;24.9;84.0;17.0;70;False;True;False;False
4;23;0.0;2;True;11.74;38.0;6.0;73;True;False;False;False
2;21;0.0;2;True;7.98;61.0;11.0;154;True;False;False;False
3;16;0.0;1;True;14.56;25.0;43.0;305;True;False;False;False
9;3;0.0;2;True;23.02;89.0;6.0;10;False;True;False;False
5;4;0.0;4;True;13.62;88.0;17.0;2;False;True;False;False
4;20;0.0;4;True;12.68;41.0;13.0;312;True;False;False;False
8;12;0.0;3;True;26.78;51.0;0.0;312;True;False;False;False
3;18;0.0;4;True;15.5;39.0;20.0;681;True;False;False;False
2;16;0.0;6;False;7.04;26.0;39.0;195;True;False;False;False
4;19;0.0;0;False;8.92;87.0;35.0;35;False;False;False;True
4;8;0.0;1;True;6.1;75.0;22.0;482;False;True;False;False
3;11;0.0;6;False;16.44;77.0;9.0;585;False;True;False;False
10;12;0.0;4;True;25.84;54.0;13.0;288;False;True;False;False
4;19;1.0;1;False;27.72;35.0;26.0;522;True;False;False;False
10;16;0.0;2;True;6.1;87.0;17.0;98;False;False;False;True
1;6;0.0;0;False;1.4;40.0;7.0;5;True;False;False;False
8;20;0.0;2;True;25.84;48.0;7.0;435;True;False;False;False
3;12;0.0;6;False;18.32;68.0;11.0;651;True;False;False;False
9;10;0.0;3;True;21.14;61.0;9.0;205;True;False;False;False
4;8;0.0;3;True;15.5;39.0;13.0;576;False;False;False;True
3;17;0.0;5;True;14.56;82.0;6.0;258;False;False;False;True
4;9;0.0;3;True;7.04;49.0;20.0;302;False;True;False;False
12;22;0.0;6;False;6.1;87.0;0.0;147;False;True;False;False
6;0;0.0;1;True;18.32;73.0;17.0;40;True;False;False;False
12;13;0.0;3;True;11.74;50.0;13.0;213;True;False;False;False
9;7;0.0;6;False;14.56;67.0;19.0;73;True;False;False;False
9;20;0.0;5;True;23.02;61.0;7.0;404;True;False;False;False
1;10;0.0;4;True;3.28;52.0;6.0;86;False;True;False;False
10;22;0.0;0;False;11.74;54.0;0.0;113;True;False;False;False
8;20;0.0;0;False;22.08;89.0;11.0;211;True;False;False;False
2;12;0.0;6;False;7.04;29.0;44.0;258;True;False;False;False
9;5;0.0;4;True;12.68;77.0;7.0;56;True;False;False;False
11;11;0.0;6;False;9.86;43.0;13.0;423;True;False;False;False
2;20;0.0;4;True;7.04;36.0;0.0;199;True;False;False;False
7;16;0.0;5;True;31.48;47.0;15.0;499;True;False;False;False
9;3;0.0;0;False;13.62;67.0;6.0;58;True;False;False;False
1;14;1.0;1;False;3.28;44.0;26.0;181;True;False;False;False
6;11;0.0;2;True;23.02;83.0;24.0;65;False;False;False;True
10;5;0.0;4;True;22.08;89.0;7.0;39;False;False;False;True
2;22;0.0;0;False;4.22;60.0;7.0;191;True;False;False;False
5;4;0.0;4;True;20.2;64.0;22.0;16;True;False;False;False
3;12;0.0;4;True;17.38;88.0;13.0;272;False;True;False;False
10;14;0.0;4;True;21.14;50.0;20.0;285;False;True;False;False
7;6;0.0;1;True;23.02;83.0;11.0;161;True;False;False;False
8;11;0.0;4;True;27.72;37.0;6.0;274;True;False;False;False
6;14;0.0;6;False;30.54;23.0;13.0;593;True;False;False;False
10;12;0.0;1;True;20.2;43.0;11.0;323;False;True;False;False
8;13;0.0;6;False;26.78;40.0;13.0;644;True;False;False;False
12;0;0.0;3;True;6.1;52.0;11.0;34;True;False;False;False
9;15;0.0;1;True;22.08;65.0;17.0;338;False;True;False;False
1;17;0.0;0;False;14.56;48.0;11.0;111;False;True;False;False
5;3;0.0;5;True;18.32;88.0;15.0;14;True;False;False;False
11;3;0.0;1;True;1.4;69.0;0.0;5;True;False;False;False
2;23;0.0;2;True;8.92;50.0;6.0;57;False;True;False;False
8;0;0.0;1;True;21.14;83.0;0.0;32;True;False;False;False
5;18;0.0;1;True;20.2;53.0;24.0;680;False;True;False;False
3;16;0.0;1;True;21.14;35.0;30.0;332;True;False;False;False
11;2;0.0;1;True;8.92;66.0;17.0;5;False;True;False;False
3;10;0.0;2;True;4.22;35.0;15.0;138;True;False;False;False
8;0;0.0;5;True;25.84;70.0;13.0;71;True;False;False;False
8;20;0.0;5;True;28.66;66.0;15.0;389;False;True;False;False
2;8;0.0;5;True;1.4;59.0;11.0;448;True;False;False;False
9;21;0.0;1;True;15.5;51.0;9.0;256;True;False;False;False
8;16;0.0;0;False;27.72;40.0;7.0;513;True;False;False;False
6;23;0.0;2;True;25.84;79.0;9.0;125;True;False;False;False
12;9;0.0;3;True;5.16;75.0;7.0;317;True;False;False;False
7;10;0.0;3;True;25.84;62.0;9.0;195;False;True;False;False
2;18;1.0;1;False;7.98;34.0;15.0;242;True;False;False;False
6;16;0.0;2;True;29.6;55.0;15.0;334;True;False;False;False
11;23;0.0;3;True;3.28;70.0;9.0;87;True;False;False;False
3;10;0.0;1;True;15.5;36.0;39.0;153;True;False;False;False
12;9;0.0;4;True;4.22;60.0;33.0;133;True;False;False;False
8;2;0.0;3;True;23.96;65.0;0.0;8;True;False;False;False
7;16;0.0;0;False;29.6;43.0;9.0;521;True;False;False;False
9;19;0.0;1;True;21.14;73.0;7.0;486;False;True;False;False
2;2;0.0;4;True;12.68;62.0;15.0;9;False;True;False;False
2;2;0.0;0;False;-3.3;58.0;39.0;27;False;True;False;False
7;14;0.0;3;True;29.6;29.0;9.0;247;True;False;False;False
2;8;0.0;4;True;1.4;64.0;17.0;484;True;False;False;False
9;7;0.0;6;False;19.26;78.0;17.0;77;True;False;False;False
9;19;0.0;6;False;19.26;88.0;7.0;215;False;False;False;True
6;18;0.0;1;True;21.14;69.0;11.0;642;False;True;False;False
10;4;0.0;0;False;8.92;71.0;11.0;21;True;False;False;False
10;7;0.0;0;False;10.8;62.0;0.0;56;True;False;False;False
5;1;0.0;6;False;15.5;48.0;0.0;104;True;False;False;False
11;13;0.0;3;True;8.92;43.0;17.0;214;True;False;False;False
2;9;0.0;4;True;8.92;81.0;17.0;242;True;False;False;False
6;7;0.0;5;True;24.9;61.0;7.0;380;True;False;False;False
8;2;0.0;0;False;22.08;69.0;9.0;86;True;False;False;False
3;8;0.0;6;False;11.74;94.0;7.0;218;False;True;False;False
12;10;0.0;4;True;3.28;52.0;13.0;145;True;False;False;False
11;17;0.0;0;False;5.16;41.0;11.0;181;True;False;False;False
12;3;0.0;4;True;3.28;87.0;15.0;1;False;True;False;False
10;11;0.0;6;False;11.74;35.0;9.0;527;True;False;False;False
7;14;0.0;1;True;32.42;34.0;15.0;230;True;False;False;False
11;14;0.0;5;True;10.8;40.0;7.0;251;False;True;False;False
3;12;0.0;4;True;18.32;37.0;15.0;220;True;False;False;False
3;23;0.0;1;True;18.32;56.0;15.0;63;True;False;False;False
7;6;0.0;6;False;24.9;70.0;7.0;50;True;False;False;False
12;11;0.0;0;False;3.28;52.0;13.0;152;True;False;False;False
8;10;0.0;0;False;23.96;69.0;0.0;425;False;True;False;False
5;6;0.0;3;True;20.2;78.0;7.0;144;False;True;False;False
2;3;0.0;2;True;10.8;32.0;24.0;6;True;False;False;False
10;2;0.0;1;True;13.62;72.0;0.0;12;True;False;False;False
5;5;0.0;1;True;18.32;88.0;20.0;15;False;False;False;True
2;4;0.0;5;True;4.22;56.0;6.0;2;True;False;False;False
2;1;0.0;3;True;5.16;61.0;11.0;10;True;False;False;False
8;10;0.0;5;True;23.02;89.0;7.0;193;True;False;False;False
6;11;0.0;2;True;22.08;36.0;28.0;235;True;False;False;False
2;8;0.0;5;True;3.28;65.0;15.0;441;True;False;False;False
6;16;0.0;6;False;25.84;37.0;7.0;542;False;True;False;False
8;5;0.0;2;True;23.96;89.0;13.0;36;False;True;False;False
2;8;0.0;3;True;5.16;75.0;7.0;116;False;True;False;False
5;14;0.0;0;False;25.84;39.0;26.0;543;True;False;False;False
8;8;0.0;3;True;26.78;72.0;6.0;737;False;True;False;False
11;20;0.0;0;False;8.92;66.0;11.0;129;True;False;False;False
12;22;0.0;2;True;15.5;63.0;20.0;181;False;True;False;False
8;16;0.0;1;True;31.48;41.0;7.0;451;True;False;False;False
8;20;0.0;2;True;26.78;70.0;9.0;448;False;True;False;False
6;8;0.0;5;True;27.72;55.0;9.0;613;True;False;False;False
7;23;0.0;0;False;28.66;52.0;11.0;110;False;False;False;True
5;13;0.0;5;True;26.78;62.0;9.0;333;True;False;False;False
4;10;0.0;1;True;11.74;41.0;11.0;157;False;True;False;False
1;7;0.0;5;True;11.74;100.0;20.0;134;False;True;False;False
8;3;0.0;0;False;22.08;89.0;17.0;53;False;True;False;False
10;21;0.0;3;True;21.14;61.0;7.0;313;False;True;False;False
4;3;0.0;4;True;11.74;41.0;20.0;5;True;False;False;False
3;13;0.0;4;True;23.02;41.0;6.0;273;False;True;False;False
2;8;0.0;6;False;2.34;87.0;0.0;102;True;False;False;False
8;5;0.0;1;True;20.2;83.0;0.0;37;False;True;False;False
5;11;0.0;5;True;24.9;61.0;0.0;258;False;True;False;False
7;7;0.0;4;True;22.08;73.0;9.0;512;True;False;False;False
10;23;0.0;1;True;13.62;82.0;7.0;163;True;False;False;False
12;17;0.0;0;False;9.86;82.0;7.0;243;False;True;False;False
6;5;0.0;5;True;21.14;78.0;6.0;45;False;True;False;False
12;21;0.0;5;True;3.28;70.0;9.0;92;False;True;False;False
9;9;0.0;0;False;21.14;61.0;17.0;299;True;False;False;False
4;9;1.0;1;False;21.14;69.0;15.0;297;True;False;False;False
1;19;1.0;1;False;3.28;38.0;15.0;93;True;False;False;False
1;11;0.0;2;True;10.8;37.0;19.0;139;True;False;False;False
12;8;0.0;3;True;3.28;87.0;7.0;678;True;False;False;False
2;12;0.0;6;False;8.92;43.0;13.0;369;True;False;False;False
2;2;0.0;5;True;6.1;52.0;15.0;6;True;False;False;False
8;19;0.0;1;True;26.78;58.0;11.0;555;True;False;False;False
4;19;0.0;1;True;17.38;64.0;17.0;471;False;True;False;False
7;20;0.0;0;False;31.48;39.0;9.0;332;True;False;False;False
12;12;0.0;3;True;2.34;87.0;22.0;10;False;False;False;True
7;11;0.0;6;False;36.18;38.0;13.0;367;True;False;False;False
9;3;0.0;0;False;14.56;55.0;20.0;54;True;False;False;False
9;14;0.0;6;False;20.2;40.0;17.0;750;True;False;False;False
5;15;0.0;4;True;22.08;36.0;17.0;316;True;False;False;False
3;8;0.0;2;True;16.44;88.0;7.0;516;False;True;False;False
5;12;0.0;1;True;18.32;88.0;19.0;185;False;True;False;False
10;2;0.0;5;True;10.8;66.0;6.0;16;True;False;False;False
3;2;0.0;4;True;20.2;28.0;20.0;6;True;False;False;False
3;4;0.0;0;False;11.74;94.0;11.0;14;False;True;False;False
9;20;0.0;6;False;19.26;88.0;6.0;194;False;True;False;False
3;11;0.0;6;False;6.1;33.0;22.0;274;True;False;False;False
4;13;0.0;4;True;14.56;36.0;30.0;203;True;False;False;False
3;12;0.0;0;False;10.8;94.0;15.0;360;False;True;False;False
4;17;0.0;0;False;24.9;42.0;22.0;623;True;False;False;False
1;1;0.0;1;True;0.46;86.0;7.0;4;False;True;False;False
2;23;0.0;4;True;7.04;81.0;6.0;73;True;False;False;False
6;7;0.0;6;False;19.26;64.0;7.0;87;True;False;False;False
4;6;0.0;0;False;15.5;63.0;9.0;16;True;False;False;False
11;3;0.0;1;True;8.92;66.0;15.0;2;False;True;False;False
5;9;0.0;3;True;21.14;69.0;13.0;305;False;True;False;False
12;7;0.0;2;True;7.98;66.0;28.0;380;True;False;False;False
3;8;0.0;0;False;10.8;94.0;22.0;89;False;True;False;False
8;1;0.0;5;True;23.02;65.0;7.0;54;True;False;False;False
7;12;0.0;2;True;34.3;35.0;0.0;254;False;True;False;False
10;22;0.0;2;True;14.56;77.0;6.0;162;False;True;False;False
10;12;0.0;1;True;19.26;35.0;0.0;283;True;False;False;False
7;18;0.0;3;True;29.6;27.0;9.0;891;True;False;False;False
7;7;0.0;5;True;24.9;54.0;0.0;380;False;True;False;False
5;1;0.0;2;True;15.5;63.0;9.0;21;False;True;False;False
11;0;0.0;3;True;6.1;56.0;19.0;283;False;True;False;False
4;21;0.0;4;True;16.44;83.0;15.0;250;True;False;False;False
4;12;0.0;0;False;17.38;24.0;17.0;457;True;False;False;False
2;10;0.0;4;True;2.34;51.0;15.0;97;True;False;False;False
4;8;0.0;3;True;12.68;72.0;7.0;684;False;True;False;False
5;4;0.0;3;True;17.38;94.0;9.0;4;True;False;False;False
5;20;0.0;1;True;19.26;88.0;13.0;189;False;True;False;False
2;0;0.0;6;False;6.1;70.0;9.0;53;False;True;False;False
3;23;0.0;5;True;7.04;33.0;20.0;86;True;False;False;False
10;14;0.0;0;False;18.32;35.0;13.0;640;True;False;False;False
11;13;0.0;6;False;7.04;36.0;22.0;225;True;False;False;False
10;3;0.0;0;False;15.5;63.0;22.0;79;False;True;False;False
5;19;0.0;2;True;28.66;52.0;24.0;526;True;False;False;False
12;18;0.0;6;False;6.1;70.0;13.0;110;True;False;False;False
2;18;0.0;6;False;6.1;28.0;39.0;133;True;False;False;False
9;0;0.0;4;True;20.2;78.0;6.0;65;True;False;False;False
11;4;0.0;5;True;7.04;53.0;24.0;14;True;False;False;False
7;14;0.0;0;False;29.6;46.0;13.0;522;True;False;False;False
6;15;0.0;1;True;23.02;39.0;20.0;292;True;False;False;False
9;12;0.0;4;True;21.14;43.0;9.0;290;True;False;False;False
8;7;0.0;3;True;22.08;65.0;6.0;554;True;False;False;False
2;21;0.0;4;True;12.68;51.0;15.0;222;True;False;False;False
8;11;0.0;6;False;26.78;66.0;11.0;499;True;False;False;False
7;21;0.0;2;True;24.9;70.0;19.0;196;False;True;False;False
1;14;0.0;2;True;8.92;81.0;15.0;173;True;False;False;False
11;5;0.0;4;True;6.1;42.0;15.0;35;False;True;False;False
9;6;0.0;0;False;12.68;62.0;17.0;16;True;False;False;False
1;19;0.0;6;False;1.4;47.0;15.0;102;True;False;False;False
11;7;0.0;3;True;3.28;65.0;19.0;415;True;False;False;False
4;5;0.0;0;False;12.68;77.0;15.0;6;False;True;False;False
1;4;1.0;1;False;-2.36;58.0;7.0;8;True;False;False;False
6;18;0.0;6;False;30.54;26.0;20.0;481;True;False;False;False
8;7;0.0;5;True;22.08;78.0;0.0;425;False;True;False;False
12;11;0.0;4;True;5.16;56.0;30.0;103;False;True;False;False
4;10;0.0;0;False;19.26;53.0;15.0;421;True;False;False;False
9;21;0.0;2;True;20.2;56.0;20.0;297;True;False;False;False
6;8;0.0;2;True;18.32;49.0;22.0;656;True;False;False;False
4;9;0.0;0;False;17.38;56.0;15.0;251;True;False;False;False
9;16;0.0;5;True;23.02;50.0;15.0;502;False;True;False;False
10;12;0.0;5;True;22.08;69.0;15.0;332;True;False;False;False
8;18;0.0;1;True;27.72;52.0;19.0;812;True;False;False;False
6;6;0.0;2;True;16.44;52.0;20.0;188;True;False;False;False
12;12;0.0;3;True;7.98;42.0;0.0;232;False;True;False;False
10;4;0.0;6;False;15.5;88.0;11.0;13;False;True;False;False
8;21;0.0;3;True;26.78;66.0;7.0;381;True;False;False;False
3;12;0.0;4;True;15.5;42.0;33.0;292;True;False;False;False
5;17;0.0;4;True;20.2;31.0;26.0;732;True;False;False;False
6;20;0.0;5;True;21.14;94.0;17.0;39;False;False;False;True
11;11;0.0;4;True;8.92;62.0;13.0;170;False;False;False;True
6;21;0.0;2;True;23.96;83.0;7.0;274;True;False;False;False
5;10;0.0;5;True;16.44;36.0;22.0;210;True;False;False;False
10;18;0.0;3;True;16.44;59.0;11.0;884;True;False;False;False
7;13;0.0;0;False;32.42;41.0;7.0;480;True;False;False;False
2;19;0.0;6;False;1.4;40.0;37.0;87;False;True;False;False
2;4;0.0;3;True;7.98;71.0;11.0;2;True;False;False;False
10;3;0.0;2;True;11.74;67.0;7.0;2;True;False;False;False
1;0;0.0;1;True;3.28;60.0;15.0;15;True;False;False;False
12;7;0.0;0;False;3.28;93.0;9.0;31;False;True;False;False
6;3;0.0;0;False;22.08;73.0;7.0;29;True;False;False;False
10;0;0.0;6;False;18.32;83.0;11.0;191;True;False;False;False
3;1;0.0;3;True;16.44;63.0;6.0;27;True;False;False;False
5;13;0.0;3;True;24.9;51.0;0.0;289;True;False;False;False
10;18;0.0;2;True;15.5;42.0;11.0;838;True;False;False;False
7;20;0.0;5;True;26.78;48.0;9.0;389;True;False;False;False
4;20;0.0;1;True;13.62;31.0;11.0;329;True;False;False;False
2;4;0.0;4;True;10.8;82.0;6.0;1;False;False;False;True
5;17;0.0;6;False;23.02;36.0;13.0;576;False;True;False;False
10;6;0.0;2;True;11.74;67.0;11.0;172;True;False;False;False
10;10;0.0;3;True;17.38;73.0;0.0;171;False;True;False;False
12;18;0.0;5;True;3.28;60.0;9.0;213;True;False;False;False
4;19;0.0;4;True;13.62;31.0;20.0;433;True;False;False;False
3;8;0.0;3;True;14.56;94.0;7.0;535;False;False;False;True
2;15;1.0;1;False;7.98;34.0;15.0;289;True;False;False;False
11;1;0.0;2;True;3.28;60.0;11.0;8;True;False;False;False
2;3;0.0;0;False;3.28;87.0;6.0;17;False;False;False;True
6;7;0.0;1;True;23.02;74.0;15.0;485;True;False;False;False
7;16;0.0;1;True;28.66;40.0;19.0;413;True;False;False;False
6;10;0.0;5;True;22.08;57.0;11.0;216;True;False;False;False
1;1;0.0;0;False;8.92;66.0;9.0;93;True;False;False;False
6;7;0.0;0;False;22.08;69.0;7.0;71;True;False;False;False
6;21;0.0;1;True;21.14;73.0;7.0;273;False;True;False;False
6;22;0.0;0;False;21.14;50.0;26.0;226;True;False;False;False
12;16;0.0;3;True;7.98;46.0;9.0;329;False;True;False;False
8;8;0.0;5;True;21.14;91.0;11.0;119;False;False;False;True
2;6;0.0;5;True;10.8;87.0;11.0;82;False;True;False;False
5;19;0.0;6;False;26.78;66.0;15.0;373;False;True;False;False
8;1;0.0;0;False;21.14;78.0;9.0;113;True;False;False;False
9;23;0.0;0;False;18.32;52.0;19.0;92;True;False;False;False
1;12;0.0;0;False;7.04;26.0;15.0;288;True;False;False;False
7;0;0.0;5;True;24.9;54.0;11.0;95;False;True;False;False
5;23;0.0;6;False;20.2;56.0;11.0;239;True;False;False;False
6;10;0.0;6;False;20.2;53.0;20.0;493;True;False;False;False
8;21;0.0;1;True;25.84;66.0;13.0;290;True;False;False;False
5;18;0.0;6;False;23.02;31.0;13.0;546;False;True;False;False
5;22;0.0;0;False;18.32;73.0;11.0;157;True;False;False;False
12;15;0.0;2;True;20.2;49.0;17.0;300;False;True;False;False
4;20;0.0;6;False;18.32;46.0;9.0;321;False;True;False;False
3;11;0.0;4;True;18.32;43.0;13.0;168;True;False;False;False
4;3;0.0;1;True;7.04;81.0;19.0;1;False;True;False;False
10;11;0.0;6;False;18.32;64.0;19.0;585;True;False;False;False
3;23;0.0;4;True;18.32;83.0;6.0;151;True;False;False;False
7;3;0.0;2;True;24.9;65.0;9.0;2;True;False;False;False
7;6;0.0;4;True;23.02;78.0;17.0;181;True;False;False;False
10;18;0.0;5;True;22.08;57.0;9.0;761;True;False;False;False
2;7;0.0;4;True;6.1;70.0;9.0;288;False;True;False;False
8;7;0.0;2;True;24.9;74.0;9.0;502;False;True;False;False
1;14;0.0;6;False;9.86;50.0;26.0;362;True;False;False;False
12;17;0.0;1;True;16.44;63.0;7.0;708;True;False;False;False
11;5;0.0;4;True;1.4;69.0;0.0;42;True;False;False;False
6;9;0.0;2;True;16.44;72.0;17.0;335;False;True;False;False
9;2;0.0;4;True;17.38;77.0;0.0;9;True;False;False;False
2;8;0.0;3;True;6.1;75.0;6.0;576;True;False;False;False
