month;hour;holiday;weekday;workingday;weather;temperature;humidity;windspeed;count
6;6;0.0;1;True;0;22.08;78.0;11.0;158
2;8;0.0;2;True;0;4.22;48.0;19.0;559
7;12;0.0;1;True;0;31.48;32.0;13.0;257
9;10;0.0;6;False;0;23.02;65.0;22.0;474
8;4;0.0;3;True;0;22.08;83.0;7.0;4
9;16;1.0;1;False;0;26.78;70.0;15.0;500
7;18;0.0;2;True;0;27.72;55.0;19.0;857
6;6;0.0;4;True;0;13.62;88.0;7.0;170
8;8;0.0;0;False;0;23.02;54.0;15.0;119
1;4;1.0;1;False;0;5.16;45.0;22.0;4
5;22;0.0;4;True;0;21.14;78.0;0.0;246
5;15;0.0;0;False;0;28.66;52.0;19.0;535
7;7;0.0;6;False;1;19.26;88.0;17.0;37
8;10;0.0;6;False;0;25.84;62.0;6.0;407
12;18;0.0;5;True;0;8.92;46.0;9.0;455
8;17;0.0;1;True;0;24.9;58.0;19.0;893
6;15;0.0;2;True;0;28.66;59.0;11.0;259
1;15;0.0;0;False;1;-0.48;80.0;13.0;176
4;19;0.0;3;True;0;20.2;20.0;13.0;543
1;22;0.0;2;True;0;-3.3;46.0;17.0;33
2;2;0.0;3;True;0;7.98;66.0;19.0;6
9;6;0.0;5;True;1;18.32;94.0;6.0;138
6;19;0.0;5;True;3;21.14;88.0;24.0;45
11;12;0.0;0;False;0;15.5;48.0;6.0;585
10;4;0.0;6;False;0;6.1;65.0;11.0;11
9;17;0.0;0;False;0;24.9;37.0;17.0;671
11;3;0.0;4;True;1;4.22;70.0;6.0;2
7;13;0.0;3;True;1;29.6;42.0;11.0;273
6;3;0.0;5;True;0;25.84;58.0;13.0;8
12;13;0.0;4;True;1;8.92;57.0;13.0;217
10;16;0.0;3;True;1;11.74;54.0;15.0;424
8;20;0.0;6;False;3;21.14;83.0;17.0;241
5;18;0.0;2;True;0;29.6;49.0;33.0;710
7;11;0.0;5;True;1;27.72;45.0;9.0;288
9;23;1.0;1;False;1;24.9;84.0;17.0;70
4;23;0.0;2;True;0;11.74;38.0;6.0;73
2;21;0.0;2;True;0;7.98;61.0;11.0;154
3;16;0.0;1;True;0;14.56;25.0;43.0;305
9;3;0.0;2;True;1;23.02;89.0;6.0;10
5;4;0.0;4;True;1;13.62;88.0;17.0;2
4;20;0.0;4;True;0;12.68;41.0;13.0;312
8;12;0.0;3;True;0;26.78;51.0;0.0;312
3;18;0.0;4;True;0;15.5;39.0;20.0;681
2;16;0.0;6;False;0;7.04;26.0;39.0;195
4;19;0.0;0;False;3;8.92;87.0;35.0;35
4;8;0.0;1;True;1;6.1;75.0;22.0;482
3;11;0.0;6;False;1;16.44;77.0;9.0;585
10;12;0.0;4;True;1;25.84;54.0;13.0;288
4;19;1.0;1;False;0;27.72;35.0;26.0;522
10;16;0.0;2;True;3;6.1;87.0;17.0;98
1;6;0.0;0;False;0;1.4;40.0;7.0;5
8;20;0.0;2;True;0;25.84;48.0;7.0;435
3;12;0.0;6;False;0;18.32;68.0;11.0;651
9;10;0.0;3;True;0;21.14;61.0;9.0;205
4;8;0.0;3;True;3;15.5;39.0;13.0;576
3;17;0.0;5;True;3;14.56;82.0;6.0;258
4;9;0.0;3;True;1;7.04;49.0;20.0;302
12;22;0.0;6;False;1;6.1;87.0;0.0;147
6;0;0.0;1;True;0;18.32;73.0;17.0;40
12;13;0.0;3;True;0;11.74;50.0;13.0;213
9;7;0.0;6;False;0;14.56;67.0;19.0;73
9;20;0.0;5;True;0;23.02;61.0;7.0;404
1;10;0.0;4;True;1;3.28;52.0;6.0;86
10;22;0.0;0;False;0;11.74;54.0;0.0;113
8;20;0.0;0;False;0;22.08;89.0;11.0;211
2;12;0.0;6;False;0;7.04;29.0;44.0;258
9;5;0.0;4;True;0;12.68;77.0;7.0;56
11;11;0.0;6;False;0;9.86;43.0;13.0;423
2;20;0.0;4;True;0;7.04;36.0;0.0;199
7;16;0.0;5;True;0;31.48;47.0;15.0;499
9;3;0.0;0;False;0;13.62;67.0;6.0;58
1;14;1.0;1;False;0;3.28;44.0;26.0;181
6;11;0.0;2;True;3;23.02;83.0;24.0;65
10;5;0.0;4;True;3;22.08;89.0;7.0;39
2;22;0.0;0;False;0;4.22;60.0;7.0;191
5;4;0.0;4;True;0;20.2;64.0;22.0;16
3;12;0.0;4;True;1;17.38;88.0;13.0;272
10;14;0.0;4;True;1;21.14;50.0;20.0;285
7;6;0.0;1;True;0;23.02;83.0;11.0;161
8;11;0.0;4;True;0;27.72;37.0;6.0;274
6;14;0.0;6;False;0;30.54;23.0;13.0;593
10;12;0.0;1;True;1;20.2;43.0;11.0;323
8;13;0.0;6;False;0;26.78;40.0;13.0;644
12;0;0.0;3;True;0;6.1;52.0;11.0;34
9;15;0.0;1;True;1;22.08;65.0;17.0;338
1;17;0.0;0;False;1;14.56;48.0;11.0;111
5;3;0.0;5;True;0;18.32;88.0;15.0;14
11;3;0.0;1;True;0;1.4;69.0;0.0;5
2;23;0.0;2;True;1;8.92;50.0;6.0;57
8;0;0.0;1;True;0;21.14;83.0;0.0;32
5;18;0.0;1;True;1;20.2;53.0;24.0;680
3;16;0.0;1;True;0;21.14;35.0;30.0;332
11;2;0.0;1;True;1;8.92;66.0;17.0;5
3;10;0.0;2;True;0;4.22;35.0;15.0;138
8;0;0.0;5;True;0;25.84;70.0;13.0;71
8;20;0.0;5;True;1;28.66;66.0;15.0;389
2;8;0.0;5;True;0;1.4;59.0;11.0;448
9;21;0.0;1;True;0;15.5;51.0;9.0;256
8;16;0.0;0;False;0;27.72;40.0;7.0;513
6;23;0.0;2;True;0;25.84;79.0;9.0;125
12;9;0.0;3;True;0;5.16;75.0;7.0;317
7;10;0.0;3;True;1;25.84;62.0;9.0;195
2;18;1.0;1;False;0;7.98;34.0;15.0;242
6;16;0.0;2;True;0;29.6;55.0;15.0;334
11;23;0.0;3;True;0;3.28;70.0;9.0;87
3;10;0.0;1;True;0;15.5;36.0;39.0;153
12;9;0.0;4;True;0;4.22;60.0;33.0;133
8;2;0.0;3;True;0;23.96;65.0;0.0;8
7;16;0.0;0;False;0;29.6;43.0;9.0;521
9;19;0.0;1;True;1;21.14;73.0;7.0;486
2;2;0.0;4;True;1;12.68;62.0;15.0;9
2;2;0.0;0;False;1;-3.3;58.0;39.0;27
7;14;0.0;3;True;0;29.6;29.0;9.0;247
2;8;0.0;4;True;0;1.4;64.0;17.0;484
9;7;0.0;6;False;0;19.26;78.0;17.0;77
9;19;0.0;6;False;3;19.26;88.0;7.0;215
6;18;0.0;1;True;1;21.14;69.0;11.0;642
10;4;0.0;0;False;0;8.92;71.0;11.0;21
10;7;0.0;0;False;0;10.8;62.0;0.0;56
5;1;0.0;6;False;0;15.5;48.0;0.0;104
11;13;0.0;3;True;0;8.92;43.0;17.0;214
2;9;0.0;4;True;0;8.92;81.0;17.0;242
6;7;0.0;5;True;0;24.9;61.0;7.0;380
8;2;0.0;0;False;0;22.08;69.0;9.0;86
3;8;0.0;6;False;1;11.74;94.0;7.0;218
12;10;0.0;4;True;0;3.28;52.0;13.0;145
11;17;0.0;0;False;0;5.16;41.0;11.0;181
12;3;0.0;4;True;1;3.28;87.0;15.0;1
10;11;0.0;6;False;0;11.74;35.0;9.0;527
7;14;0.0;1;True;0;32.42;34.0;15.0;230
11;14;0.0;5;True;1;10.8;40.0;7.0;251
3;12;0.0;4;True;0;18.32;37.0;15.0;220
3;23;0.0;1;True;0;18.32;56.0;15.0;63
7;6;0.0;6;False;0;24.9;70.0;7.0;50
12;11;0.0;0;False;0;3.28;52.0;13.0;152
8;10;0.0;0;False;1;23.96;69.0;0.0;425
5;6;0.0;3;True;1;20.2;78.0;7.0;144
2;3;0.0;2;True;0;10.8;32.0;24.0;6
10;2;0.0;1;True;0;13.62;72.0;0.0;12
5;5;0.0;1;True;3;18.32;88.0;20.0;15
2;4;0.0;5;True;0;4.22;56.0;6.0;2
2;1;0.0;3;True;0;5.16;61.0;11.0;10
8;10;0.0;5;True;0;23.02;89.0;7.0;193
6;11;0.0;2;True;0;22.08;36.0;28.0;235
2;8;0.0;5;True;0;3.28;65.0;15.0;441
6;16;0.0;6;False;1;25.84;37.0;7.0;542
8;5;0.0;2;True;1;23.96;89.0;13.0;36
2;8;0.0;3;True;1;5.16;75.0;7.0;116
5;14;0.0;0;False;0;25.84;39.0;26.0;543
8;8;0.0;3;True;1;26.78;72.0;6.0;737
11;20;0.0;0;False;0;8.92;66.0;11.0;129
12;22;0.0;2;True;1;15.5;63.0;20.0;181
8;16;0.0;1;True;0;31.48;41.0;7.0;451
8;20;0.0;2;True;1;26.78;70.0;9.0;448
6;8;0.0;5;True;0;27.72;55.0;9.0;613
7;23;0.0;0;False;3;28.66;52.0;11.0;110
5;13;0.0;5;True;0;26.78;62.0;9.0;333
4;10;0.0;1;True;1;11.74;41.0;11.0;157
1;7;0.0;5;True;1;11.74;100.0;20.0;134
8;3;0.0;0;False;1;22.08;89.0;17.0;53
10;21;0.0;3;True;1;21.14;61.0;7.0;313
4;3;0.0;4;True;0;11.74;41.0;20.0;5
3;13;0.0;4;True;1;23.02;41.0;6.0;273
2;8;0.0;6;False;0;2.34;87.0;0.0;102
8;5;0.0;1;True;1;20.2;83.0;0.0;37
5;11;0.0;5;True;1;24.9;61.0;0.0;258
7;7;0.0;4;True;0;22.08;73.0;9.0;512
10;23;0.0;1;True;0;13.62;82.0;7.0;163
12;17;0.0;0;False;1;9.86;82.0;7.0;243
6;5;0.0;5;True;1;21.14;78.0;6.0;45
12;21;0.0;5;True;1;3.28;70.0;9.0;92
9;9;0.0;0;False;0;21.14;61.0;17.0;299
4;9;1.0;1;False;0;21.14;69.0;15.0;297
1;19;1.0;1;False;0;3.28;38.0;15.0;93
1;11;0.0;2;True;0;10.8;37.0;19.0;139
12;8;0.0;3;True;0;3.28;87.0;7.0;678
2;12;0.0;6;False;0;8.92;43.0;13.0;369
2;2;0.0;5;True;0;6.1;52.0;15.0;6
8;19;0.0;1;True;0;26.78;58.0;11.0;555
4;19;0.0;1;True;1;17.38;64.0;17.0;471
7;20;0.0;0;False;0;31.48;39.0;9.0;332
12;12;0.0;3;True;3;2.34;87.0;22.0;10
7;11;0.0;6;False;0;36.18;38.0;13.0;367
9;3;0.0;0;False;0;14.56;55.0;20.0;54
9;14;0.0;6;False;0;20.2;40.0;17.0;750
5;15;0.0;4;True;0;22.08;36.0;17.0;316
3;8;0.0;2;True;1;16.44;88.0;7.0;516
5;12;0.0;1;True;1;18.32;88.0;19.0;185
10;2;0.0;5;True;0;10.8;66.0;6.0;16
3;2;0.0;4;True;0;20.2;28.0;20.0;6
3;4;0.0;0;False;1;11.74;94.0;11.0;14
9;20;0.0;6;False;1;19.26;88.0;6.0;194
3;11;0.0;6;False;0;6.1;33.0;22.0;274
4;13;0.0;4;True;0;14.56;36.0;30.0;203
3;12;0.0;0;False;1;10.8;94.0;15.0;360
4;17;0.0;0;False;0;24.9;42.0;22.0;623
1;1;0.0;1;True;1;0.46;86.0;7.0;4
2;23;0.0;4;True;0;7.04;81.0;6.0;73
6;7;0.0;6;False;0;19.26;64.0;7.0;87
4;6;0.0;0;False;0;15.5;63.0;9.0;16
11;3;0.0;1;True;1;8.92;66.0;15.0;2
5;9;0.0;3;True;1;21.14;69.0;13.0;305
12;7;0.0;2;True;0;7.98;66.0;28.0;380
3;8;0.0;0;False;1;10.8;94.0;22.0;89
8;1;0.0;5;True;0;23.02;65.0;7.0;54
7;12;0.0;2;True;1;34.3;35.0;0.0;254
10;22;0.0;2;True;1;14.56;77.0;6.0;162
10;12;0.0;1;True;0;19.26;35.0;0.0;283
7;18;0.0;3;True;0;29.6;27.0;9.0;891
7;7;0.0;5;True;1;24.9;54.0;0.0;380
5;1;0.0;2;True;1;15.5;63.0;9.0;21
11;0;0.0;3;True;1;6.1;56.0;19.0;283
4;21;0.0;4;True;0;16.44;83.0;15.0;250
4;12;0.0;0;False;0;17.38;24.0;17.0;457
2;10;0.0;4;True;0;2.34;51.0;15.0;97
4;8;0.0;3;True;1;12.68;72.0;7.0;684
5;4;0.0;3;True;0;17.38;94.0;9.0;4
5;20;0.0;1;True;1;19.26;88.0;13.0;189
2;0;0.0;6;False;1;6.1;70.0;9.0;53
3;23;0.0;5;True;0;7.04;33.0;20.0;86
10;14;0.0;0;False;0;18.32;35.0;13.0;640
11;13;0.0;6;False;0;7.04;36.0;22.0;225
10;3;0.0;0;False;1;15.5;63.0;22.0;79
5;19;0.0;2;True;0;28.66;52.0;24.0;526
12;18;0.0;6;False;0;6.1;70.0;13.0;110
2;18;0.0;6;False;0;6.1;28.0;39.0;133
9;0;0.0;4;True;0;20.2;78.0;6.0;65
11;4;0.0;5;True;0;7.04;53.0;24.0;14
7;14;0.0;0;False;0;29.6;46.0;13.0;522
6;15;0.0;1;True;0;23.02;39.0;20.0;292
9;12;0.0;4;True;0;21.14;43.0;9.0;290
8;7;0.0;3;True;0;22.08;65.0;6.0;554
2;21;0.0;4;True;0;12.68;51.0;15.0;222
8;11;0.0;6;False;0;26.78;66.0;11.0;499
7;21;0.0;2;True;1;24.9;70.0;19.0;196
1;14;0.0;2;True;0;8.92;81.0;15.0;173
11;5;0.0;4;True;1;6.1;42.0;15.0;35
9;6;0.0;0;False;0;12.68;62.0;17.0;16
1;19;0.0;6;False;0;1.4;47.0;15.0;102
11;7;0.0;3;True;0;3.28;65.0;19.0;415
4;5;0.0;0;False;1;12.68;77.0;15.0;6
1;4;1.0;1;False;0;-2.36;58.0;7.0;8
6;18;0.0;6;False;0;30.54;26.0;20.0;481
8;7;0.0;5;True;1;22.08;78.0;0.0;425
12;11;0.0;4;True;1;5.16;56.0;30.0;103
4;10;0.0;0;False;0;19.26;53.0;15.0;421
9;21;0.0;2;True;0;20.2;56.0;20.0;297
6;8;0.0;2;True;0;18.32;49.0;22.0;656
4;9;0.0;0;False;0;17.38;56.0;15.0;251
9;16;0.0;5;True;1;23.02;50.0;15.0;502
10;12;0.0;5;True;0;22.08;69.0;15.0;332
8;18;0.0;1;True;0;27.72;52.0;19.0;812
6;6;0.0;2;True;0;16.44;52.0;20.0;188
12;12;0.0;3;True;1;7.98;42.0;0.0;232
10;4;0.0;6;False;1;15.5;88.0;11.0;13
8;21;0.0;3;True;0;26.78;66.0;7.0;381
3;12;0.0;4;True;0;15.5;42.0;33.0;292
5;17;0.0;4;True;0;20.2;31.0;26.0;732
6;20;0.0;5;True;3;21.14;94.0;17.0;39
11;11;0.0;4;True;3;8.92;62.0;13.0;170
6;21;0.0;2;True;0;23.96;83.0;7.0;274
5;10;0.0;5;True;0;16.44;36.0;22.0;210
10;18;0.0;3;True;0;16.44;59.0;11.0;884
7;13;0.0;0;False;0;32.42;41.0;7.0;480
2;19;0.0;6;False;1;1.4;40.0;37.0;87
2;4;0.0;3;True;0;7.98;71.0;11.0;2
10;3;0.0;2;True;0;11.74;67.0;7.0;2
1;0;0.0;1;True;0;3.28;60.0;15.0;15
12;7;0.0;0;False;1;3.28;93.0;9.0;31
6;3;0.0;0;False;0;22.08;73.0;7.0;29
10;0;0.0;6;False;0;18.32;83.0;11.0;191
3;1;0.0;3;True;0;16.44;63.0;6.0;27
5;13;0.0;3;True;0;24.9;51.0;0.0;289
10;18;0.0;2;True;0;15.5;42.0;11.0;838
7;20;0.0;5;True;0;26.78;48.0;9.0;389
4;20;0.0;1;True;0;13.62;31.0;11.0;329
2;4;0.0;4;True;3;10.8;82.0;6.0;1
5;17;0.0;6;False;1;23.02;36.0;13.0;576
10;6;0.0;2;True;0;11.74;67.0;11.0;172
10;10;0.0;3;True;1;17.38;73.0;0.0;171
12;18;0.0;5;True;0;3.28;60.0;9.0;213
4;19;0.0;4;True;0;13.62;31.0;20.0;433
3;8;0.0;3;True;3;14.56;94.0;7.0;535
2;15;1.0;1;False;0;7.98;34.0;15.0;289
11;1;0.0;2;True;0;3.28;60.0;11.0;8
2;3;0.0;0;False;3;3.28;87.0;6.0;17
6;7;0.0;1;True;0;23.02;74.0;15.0;485
7;16;0.0;1;True;0;28.66;40.0;19.0;413
6;10;0.0;5;True;0;22.08;57.0;11.0;216
1;1;0.0;0;False;0;8.92;66.0;9.0;93
6;7;0.0;0;False;0;22.08;69.0;7.0;71
6;21;0.0;1;True;1;21.14;73.0;7.0;273
6;22;0.0;0;False;0;21.14;50.0;26.0;226
12;16;0.0;3;True;1;7.98;46.0;9.0;329
8;8;0.0;5;True;3;21.14;91.0;11.0;119
2;6;0.0;5;True;1;10.8;87.0;11.0;82
5;19;0.0;6;False;1;26.78;66.0;15.0;373
8;1;0.0;0;False;0;21.14;78.0;9.0;113
9;23;0.0;0;False;0;18.32;52.0;19.0;92
1;12;0.0;0;False;0;7.04;26.0;15.0;288
7;0;0.0;5;True;1;24.9;54.0;11.0;95
5;23;0.0;6;False;0;20.2;56.0;11.0;239
6;10;0.0;6;False;0;20.2;53.0;20.0;493
8;21;0.0;1;True;0;25.84;66.0;13.0;290
5;18;0.0;6;False;1;23.02;31.0;13.0;546
5;22;0.0;0;False;0;18.32;73.0;11.0;157
12;15;0.0;2;True;1;20.2;49.0;17.0;300
4;20;0.0;6;False;1;18.32;46.0;9.0;321
3;11;0.0;4;True;0;18.32;43.0;13.0;168
4;3;0.0;1;True;1;7.04;81.0;19.0;1
10;11;0.0;6;False;0;18.32;64.0;19.0;585
3;23;0.0;4;True;0;18.32;83.0;6.0;151
7;3;0.0;2;True;0;24.9;65.0;9.0;2
7;6;0.0;4;True;0;23.02;78.0;17.0;181
10;18;0.0;5;True;0;22.08;57.0;9.0;761
2;7;0.0;4;True;1;6.1;70.0;9.0;288
8;7;0.0;2;True;1;24.9;74.0;9.0;502
1;14;0.0;6;False;0;9.86;50.0;26.0;362
12;17;0.0;1;True;0;16.44;63.0;7.0;708
11;5;0.0;4;True;0;1.4;69.0;0.0;42
6;9;0.0;2;True;1;16.44;72.0;17.0;335
9;2;0.0;4;True;0;17.38;77.0;0.0;9
2;8;0.0;3;True;0;6.1;75.0;6.0;576
9;12;1.0;1;False;1;27.72;62.0;20.0;543
6;11;0.0;5;True;1;34.3;42.0;19.0;188
11;17;0.0;5;True;1;14.56;39.0;6.0;300
9;23;0.0;6;False;0;21.14;50.0;13.0;171
12;15;0.0;1;True;1;15.5;87.0;11.0;236
3;5;0.0;1;True;0;7.98;61.0;13.0;16
8;9;0.0;4;True;0;27.72;66.0;7.0;343
2;18;0.0;5;True;3;6.1;61.0;9.0;359
3;22;0.0;1;True;0;8.92;25.0;24.0;93
12;23;0.0;4;True;0;3.28;65.0;11.0;93
4;11;0.0;1;True;0;11.74;47.0;30.0;209
7;22;0.0;0;False;0;24.9;70.0;7.0;148
10;20;0.0;0;False;0;14.56;44.0;13.0;195
3;4;0.0;5;True;1;10.8;87.0;17.0;3
4;18;0.0;3;True;0;20.2;20.0;19.0;709
7;14;0.0;6;False;0;32.42;39.0;17.0;494
12;14;0.0;0;False;0;7.98;31.0;20.0;175
1;14;0.0;2;True;0;15.5;29.0;22.0;160
4;2;0.0;4;True;0;7.04;61.0;19.0;4
10;5;0.0;3;True;1;8.92;81.0;0.0;41
3;18;0.0;1;True;0;22.08;57.0;17.0;801
10;16;0.0;6;False;1;18.32;64.0;19.0;612
6;12;0.0;4;True;0;34.3;35.0;13.0;215
7;8;0.0;0;False;1;22.08;78.0;0.0;153
1;21;0.0;5;True;0;10.8;43.0;15.0;154
12;4;0.0;0;False;1;4.22;93.0;0.0;7
6;12;0.0;5;True;1;35.24;40.0;17.0;226
12;20;0.0;6;False;0;7.04;81.0;0.0;198
5;14;0.0;3;True;0;25.84;42.0;6.0;263
12;20;1.0;2;False;1;7.04;66.0;19.0;40
8;8;0.0;4;True;0;25.84;74.0;7.0;698
9;11;0.0;1;True;0;21.14;43.0;20.0;236
8;1;0.0;4;True;0;21.14;83.0;0.0;25
7;8;1.0;3;False;0;24.9;61.0;7.0;153
1;13;0.0;4;True;0;2.34;47.0;19.0;124
3;21;0.0;5;True;3;8.92;87.0;6.0;101
5;10;0.0;6;False;0;23.96;79.0;15.0;437
5;6;0.0;2;True;3;16.44;77.0;7.0;26
8;23;0.0;6;False;3;23.02;78.0;11.0;163
3;8;0.0;3;True;0;9.86;46.0;24.0;658
7;11;0.0;6;False;0;31.48;39.0;15.0;457
3;1;0.0;5;True;0;17.38;88.0;0.0;50
12;20;0.0;4;True;0;6.1;45.0;0.0;241
4;16;0.0;2;True;0;21.14;21.0;11.0;485
3;18;0.0;3;True;0;20.2;60.0;15.0;641
12;15;0.0;1;True;1;5.16;45.0;9.0;315
5;9;0.0;5;True;1;22.08;89.0;9.0;340
9;20;0.0;2;True;0;20.2;56.0;20.0;425
3;20;0.0;5;True;0;9.86;32.0;24.0;159
9;7;0.0;3;True;0;16.44;63.0;15.0;545
9;3;0.0;1;True;0;13.62;63.0;11.0;5
5;4;0.0;0;False;0;21.14;83.0;13.0;11
6;10;0.0;6;False;0;33.36;30.0;17.0;404
4;1;0.0;6;False;0;16.44;77.0;15.0;88
1;22;0.0;5;True;1;1.4;37.0;15.0;72
10;1;0.0;2;True;0;13.62;77.0;11.0;17
4;15;0.0;3;True;0;19.26;19.0;11.0;229
10;10;0.0;4;True;1;17.38;83.0;9.0;225
9;20;0.0;5;True;0;25.84;66.0;15.0;391
9;23;0.0;0;False;3;23.02;89.0;6.0;123
3;13;0.0;2;True;0;20.2;60.0;26.0;233
10;9;0.0;1;True;1;16.44;63.0;0.0;340
9;13;0.0;1;True;0;20.2;31.0;20.0;328
8;14;0.0;6;False;3;23.02;65.0;17.0;482
8;16;0.0;5;True;1;32.42;41.0;15.0;492
8;13;0.0;4;True;0;29.6;31.0;15.0;300
7;15;0.0;0;False;0;32.42;47.0;9.0;489
12;10;0.0;6;False;0;4.22;48.0;22.0;118
7;13;0.0;5;True;1;29.6;38.0;9.0;374
8;4;0.0;6;False;1;23.02;69.0;7.0;12
1;22;0.0;5;True;0;8.92;50.0;13.0;135
6;2;0.0;6;False;0;22.08;50.0;15.0;89
7;3;0.0;1;True;1;23.02;94.0;6.0;2
5;18;0.0;6;False;1;23.02;69.0;24.0;434
4;0;0.0;1;True;3;12.68;82.0;7.0;17
1;5;0.0;3;True;0;4.22;70.0;19.0;33
6;12;0.0;4;True;0;24.9;42.0;0.0;336
7;8;0.0;3;True;0;28.66;62.0;7.0;679
6;17;0.0;6;False;0;33.36;32.0;9.0;362
5;10;0.0;5;True;0;20.2;46.0;9.0;255
7;18;0.0;1;True;0;27.72;48.0;9.0;872
2;2;0.0;3;True;0;12.68;44.0;19.0;7
4;9;0.0;6;False;0;11.74;54.0;9.0;265
10;15;0.0;2;True;0;23.96;41.0;15.0;346
12;8;0.0;0;False;0;3.28;52.0;31.0;33
9;3;0.0;6;False;1;23.02;89.0;15.0;43
1;19;0.0;4;True;1;11.74;71.0;11.0;330
8;7;0.0;1;True;0;23.02;65.0;9.0;436
1;4;0.0;4;True;0;5.16;75.0;0.0;3
6;21;0.0;0;False;0;21.14;43.0;11.0;246
