age;job;marital;education;housing;loan;contact;month;day_of_week;campaign;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;nr.employed;subscribed
31;technician;married;high.school;yes;yes;telephone;may;tue;5.0;nonexistent;-1.8;92.893;-46.2;5099.1;no
49;management;married;university.degree;yes;no;cellular;jun;mon;1.0;nonexistent;-2.9;92.963;-40.8;5076.2;yes
33;admin.;married;high.school;yes;no;cellular;aug;mon;1.0;success;-2.9;92.201;-31.4;5076.2;yes
37;admin.;married;university.degree;no;yes;cellular;aug;tue;1.0;failure;-2.9;92.201;-31.4;5076.2;no
40;management;married;university.degree;yes;no;telephone;oct;wed;1.0;nonexistent;-3.4;92.431;-26.9;5017.5;no
38;services;married;basic.9y;yes;no;cellular;apr;thu;1.0;failure;-1.8;93.075;-47.1;5099.1;no
57;blue-collar;married;basic.4y;yes;no;cellular;aug;wed;1.0;nonexistent;1.4;93.444;-36.1;5228.1;no
39;blue-collar;married;basic.9y;yes;no;cellular;sep;mon;3.0;nonexistent;-1.1;94.199;-37.5;4963.6;no
27;admin.;married;basic.9y;yes;no;telephone;jun;mon;3.0;nonexistent;1.4;94.465;-41.8;5228.1;no
65;housemaid;married;basic.4y;no;no;cellular;jun;mon;2.0;nonexistent;-2.9;92.963;-40.8;5076.2;no
45;admin.;married;high.school;yes;no;telephone;jun;thu;2.0;nonexistent;1.4;94.465;-41.8;5228.1;no
25;blue-collar;single;professional.course;yes;no;cellular;jun;tue;2.0;success;-2.9;92.963;-40.8;5076.2;yes
44;blue-collar;married;basic.6y;yes;yes;cellular;nov;fri;2.0;failure;-0.1;93.2;-42.0;5195.8;no
32;admin.;divorced;university.degree;yes;no;cellular;aug;wed;4.0;nonexistent;1.4;93.444;-36.1;5228.1;no
41;technician;single;university.degree;yes;no;cellular;jul;mon;1.0;nonexistent;1.4;93.918;-42.7;5228.1;yes
27;technician;married;professional.course;no;yes;telephone;mar;tue;1.0;nonexistent;-1.8;93.369;-34.8;5008.7;no
37;blue-collar;married;basic.6y;no;no;cellular;oct;thu;1.0;nonexistent;-3.4;92.431;-26.9;5017.5;no
36;admin.;single;university.degree;yes;no;telephone;nov;wed;1.0;nonexistent;-0.1;93.2;-42.0;5195.8;no
33;blue-collar;married;basic.6y;yes;no;cellular;apr;wed;3.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
36;blue-collar;married;unknown;no;no;cellular;apr;fri;1.0;success;-1.8;93.749;-34.6;5008.7;yes
60;retired;married;high.school;yes;no;cellular;aug;tue;2.0;failure;-1.7;94.027;-38.3;4991.6;yes
42;admin.;divorced;university.degree;no;no;cellular;may;fri;3.0;nonexistent;-1.8;92.893;-46.2;5099.1;yes
40;blue-collar;married;basic.9y;yes;no;telephone;jun;mon;4.0;nonexistent;1.4;94.465;-41.8;5228.1;no
71;retired;single;unknown;yes;no;cellular;apr;fri;3.0;nonexistent;-1.8;93.075;-47.1;5099.1;yes
53;technician;single;professional.course;no;no;cellular;aug;wed;2.0;nonexistent;1.4;93.444;-36.1;5228.1;no
59;technician;married;professional.course;yes;no;cellular;aug;wed;4.0;nonexistent;-2.9;92.201;-31.4;5076.2;yes
36;unemployed;single;high.school;yes;no;cellular;sep;thu;1.0;success;-1.1;94.199;-37.5;4963.6;yes
42;services;divorced;university.degree;unknown;unknown;cellular;nov;tue;1.0;failure;-1.1;94.767;-50.8;4963.6;yes
35;admin.;divorced;university.degree;no;no;telephone;may;tue;3.0;nonexistent;1.1;93.994;-36.4;5191.0;no
45;blue-collar;married;basic.9y;no;no;telephone;may;wed;4.0;nonexistent;1.1;93.994;-36.4;5191.0;no
